,Datas,Cidades,Estados,Geocode
409,2020-04-01,imperatriz,MA,2105302.0
410,2020-04-01,indaiatuba,SP,3520509.0
411,2020-04-01,itanhaém,SP,3522109.0
412,2020-04-01,lavras,MG,3138203.0
413,2020-04-01,limeira,SP,3526902.0
414,2020-04-01,pouso alegre,MG,3152501.0
415,2020-04-01,praia grande,SP,3541000.0
416,2020-04-01,santarém,PA,1506807.0
417,2020-04-01,são sebastião do caí,RS,4319505.0
418,2020-04-01,tangará da serra,MT,5107958.0
419,2020-04-01,tianguá,CE,2313401.0
420,2020-04-01,trindade,GO,5221403.0
421,2020-04-01,três lagoas,MS,5008305.0
422,2020-04-01,vitória da conquista,BA,2933307.0
423,2020-04-02,agudos,SP,3500709.0
424,2020-04-02,araraquara,SP,3503208.0
425,2020-04-02,arcos,MG,3104205.0
426,2020-04-02,assis,SP,3504008.0
427,2020-04-02,barbacena,MG,3105608.0
428,2020-04-02,belmonte,BA,2903409.0
429,2020-04-02,biguaçu,SC,4202305.0
430,2020-04-02,cantá,RR,1400175.0
431,2020-04-02,capela,SE,2801306.0
432,2020-04-02,cornélio procópio,PR,4106407.0
433,2020-04-02,dracena,SP,3514403.0
434,2020-04-02,franca,SP,3516200.0
435,2020-04-02,francisco morato,SP,3516309.0
436,2020-04-02,fundão,ES,3202207.0
437,2020-04-02,guaíba,RS,4309308.0
438,2020-04-02,icó,CE,2305407.0
439,2020-04-02,itaguaí,RJ,3302007.0
440,2020-04-02,itapajé,CE,2306306.0
441,2020-04-02,itapipoca,CE,2306405.0
442,2020-04-02,itararé,SP,3523206.0
443,2020-04-02,itu,SP,3523909.0
444,2020-04-02,jaguaribe,CE,2306900.0
445,2020-04-02,jaú,SP,3525300.0
446,2020-04-02,joaçaba,SC,4209003.0
447,2020-04-02,leópolis,PR,4113403.0
448,2020-04-02,lucas do rio verde,MT,5105259.0
449,2020-04-02,magé,RJ,3302502.0
450,2020-04-02,mandirituba,PR,4114302.0
451,2020-04-02,palmeira,PR,4117701.0
452,2020-04-02,paranaguá,PR,4118204.0
453,2020-04-02,paulo lopes,SC,4212304.0
454,2020-04-02,santa cruz cabrália,BA,2927705.0
455,2020-04-02,santana do paraíso,MG,3158953.0
456,2020-04-02,santo antônio do monte,MG,3160405.0
457,2020-04-02,sapucaia do sul,RS,4320008.0
458,2020-04-02,sinop,MT,5107909.0
459,2020-04-02,sooretama,ES,3205010.0
460,2020-04-02,são gabriel,RS,4318309.0
461,2020-04-02,são manoel do paraná,PR,4125555.0
462,2020-04-02,terra boa,PR,4127205.0
463,2020-04-02,toledo,MG,3169109.0
464,2020-04-02,tramandaí,RS,4321600.0
465,2020-04-02,uruguaiana,RS,4322400.0
466,2020-04-02,vila maria,RS,4323408.0
467,2020-04-02,águas de lindóia,SP,3500501.0
468,2020-04-03,adamantina,SP,3500105.0
469,2020-04-03,altamira,PA,1500602.0
470,2020-04-03,araranguá,SC,4201406.0
471,2020-04-03,araruama,RJ,3300209.0
472,2020-04-03,araruna,PR,4101705.0
473,2020-04-03,atibaia,SP,3504107.0
474,2020-04-03,barra do piraí,RJ,3300308.0
475,2020-04-03,baía formosa,RN,2401404.0
476,2020-04-03,benevides,PA,1501501.0
477,2020-04-03,bom jesus de goiás,GO,5203500.0
478,2020-04-03,cabo de santo agostinho,PE,2602902.0
479,2020-04-03,campina grande do sul,PR,4104006.0
480,2020-04-03,campo maior,PI,2202208.0
481,2020-04-03,canindé,CE,2302800.0
482,2020-04-03,caraúbas,RN,2402303.0
483,2020-04-03,colatina,ES,3201506.0
484,2020-04-03,cravinhos,SP,3513108.0
485,2020-04-03,esmeraldas,MG,3124104.0
486,2020-04-03,farias brito,CE,2304301.0
487,2020-04-03,goianésia do pará,PA,1503093.0
488,2020-04-03,iguaba grande,RJ,3301876.0
489,2020-04-03,ipaporanga,CE,2305654.0
490,2020-04-03,irati,SC,4207858.0
491,2020-04-03,itabira,MG,3131703.0
492,2020-04-03,jaboticabal,SP,3524303.0
493,2020-04-03,junco do seridó,PB,2507804.0
494,2020-04-03,mafra,SC,4210100.0
495,2020-04-03,marechal deodoro,AL,2704708.0
496,2020-04-03,marília,SP,3529005.0
497,2020-04-03,morro da fumaça,SC,4211207.0
498,2020-04-03,nilópolis,RJ,3303203.0
499,2020-04-03,nova veneza,GO,5215009.0
500,2020-04-03,novo progresso,PA,1505031.0
501,2020-04-03,palhoça,SC,4211900.0
502,2020-04-03,paulista,PE,2610707.0
503,2020-04-03,porciúncula,RJ,3304102.0
504,2020-04-03,promissão,SP,3541604.0
505,2020-04-03,santo antônio,RN,2411502.0
506,2020-04-03,sarandi,PR,4126256.0
507,2020-04-03,senador canedo,GO,5220454.0
508,2020-04-03,serra branca,PB,2515500.0
509,2020-04-03,são geraldo do araguaia,PA,1507458.0
510,2020-04-03,são josé de ribamar,MA,2111201.0
511,2020-04-03,são luís de montes belos,GO,5220108.0
512,2020-04-03,três rios,RJ,3306008.0
513,2020-04-03,utinga,BA,2932804.0
514,2020-04-04,adustina,BA,2900355.0
515,2020-04-04,alta floresta,MT,5100250.0
516,2020-04-04,botucatu,SP,3507506.0
517,2020-04-04,cachoeira,BA,2904902.0
518,2020-04-04,campo novo do parecis,MT,5102637.0
519,2020-04-04,carmo da cachoeira,MG,3113909.0
520,2020-04-04,cedral,SP,3511300.0
521,2020-04-04,chopinzinho,PR,4105409.0
522,2020-04-04,dianópolis,TO,1707009.0
523,2020-04-04,gandu,BA,2911204.0
524,2020-04-04,guaraniaçu,PR,4109302.0
525,2020-04-04,guararapes,SP,3518206.0
526,2020-04-04,horizonte,CE,2305233.0
527,2020-04-04,ibema,PR,4109757.0
528,2020-04-04,itabaiana,SE,2802908.0
529,2020-04-04,itapetinga,BA,2916401.0
530,2020-04-04,itapira,SP,3522604.0
531,2020-04-04,itapiranga,SC,4208401.0
532,2020-04-04,josé bonifácio,SP,3525706.0
533,2020-04-04,nanuque,MG,3144300.0
534,2020-04-04,nova friburgo,RJ,3303401.0
535,2020-04-04,nova mutum,MT,5106224.0
536,2020-04-04,oiapoque,AP,1600501.0
537,2020-04-04,orlândia,SP,3534302.0
538,2020-04-04,palmas,PR,4117602.0
539,2020-04-04,paraíba do sul,RJ,3303708.0
540,2020-04-04,pariquera-açu,SP,3536208.0
541,2020-04-04,patos de minas,MG,3148004.0
542,2020-04-04,pedras grandes,SC,4212403.0
543,2020-04-04,pinhão,PR,4119301.0
544,2020-04-04,rolândia,PR,4122404.0
545,2020-04-04,santa branca,SP,3546009.0
546,2020-04-04,simões filho,BA,2930709.0
547,2020-04-04,sombrio,SC,4217709.0
548,2020-04-04,são manuel,SP,3550100.0
549,2020-04-04,timon,MA,2112209.0
550,2020-04-04,uruçuca,BA,2932705.0
551,2020-04-04,varginha,MG,3170701.0
552,2020-04-05,aracati,CE,2301109.0
553,2020-04-05,areia branca,RN,2401107.0
554,2020-04-05,arroio do sal,RS,4301057.0
555,2020-04-05,balsa nova,PR,4102307.0
556,2020-04-05,cariús,CE,2303303.0
557,2020-04-05,chapadão do sul,MS,5002951.0
558,2020-04-05,esteio,RS,4307708.0
559,2020-04-05,ibirataia,BA,2912905.0
560,2020-04-05,iguatu,CE,2305506.0
561,2020-04-05,ipueiras,CE,2305902.0
562,2020-04-05,iranduba,AM,1301852.0
563,2020-04-05,itaperuna,RJ,3302205.0
564,2020-04-05,itapetininga,SP,3522307.0
565,2020-04-05,itarantim,BA,2916807.0
566,2020-04-05,janaúba,MG,3135100.0
567,2020-04-05,limoeiro do norte,CE,2307601.0
568,2020-04-05,novo oriente,CE,2309409.0
569,2020-04-05,ouriçangas,BA,2923308.0
570,2020-04-05,pacatuba,CE,2309706.0
571,2020-04-05,palmeiras,BA,2923506.0
572,2020-04-05,paracatu,MG,3147006.0
573,2020-04-05,paraisópolis,MG,3147303.0
574,2020-04-05,pedra branca,CE,2310506.0
575,2020-04-05,pindoretama,CE,2310852.0
576,2020-04-05,piripá,BA,2924702.0
577,2020-04-05,quixeramobim,CE,2311405.0
578,2020-04-05,rolim de moura,RO,1100288.0
579,2020-04-05,sananduva,RS,4316600.0
580,2020-04-05,santa cruz do sul,RS,4316808.0
581,2020-04-05,santa fé,PR,4123402.0
